Date,GDP,RS,CPI
1990Q1,10047.4,8.25,132.767
1990Q2,10083.9,8.24,134.5
1990Q3,10090.6,8.16,136.5
1990Q4,9998.7,7.74,138.067
1991Q1,9951.9,6.43,140.067
1991Q2,10029.5,5.86,141.333
1991Q3,10080.2,5.64,142.867
1991Q4,10115.3,4.82,144.2
1992Q1,10236.4,4.02,145.467
1992Q2,10347.4,3.77,146.733
1992Q3,10449.7,3.26,147.867
1992Q4,10558.6,3.04,149.2
1993Q1,10576.3,3.04,150.5
1993Q2,10637.8,3,151.767
1993Q3,10688.6,3.06,152.667
1993Q4,10834,2.99,153.867
1994Q1,10939.1,3.21,154.867
1994Q2,11087.4,3.94,155.933
1994Q3,11152.2,4.49,157.1
1994Q4,11279.9,5.17,158.1
1995Q1,11320,5.81,159.433
1995Q2,11353.7,6.02,160.733
1995Q3,11450.3,5.8,161.8
1995Q4,11528.1,5.72,162.933
1996Q1,11614.4,5.36,164.033
1996Q2,11808.1,5.24,165
1996Q3,11914.1,5.31,166.067
1996Q4,12037.8,5.28,167.133
1997Q1,12115.5,5.28,168.1
1997Q2,12317.2,5.52,169.167
1997Q3,12471,5.53,169.9
1997Q4,12577.5,5.51,170.867
1998Q1,12703.7,5.52,171.9
1998Q2,12821.3,5.5,172.867
1998Q3,12982.8,5.53,173.9
1998Q4,13191.7,4.86,174.867
1999Q1,13315.6,4.73,175.633
1999Q2,13426.7,4.75,176.467
1999Q3,13604.8,5.09,177.4
1999Q4,13828,5.31,178.4
2000Q1,13878.1,5.68,179.567
2000Q2,14130.9,6.27,180.7
2000Q3,14145.3,6.52,181.9
2000Q4,14229.8,6.47,183
2001Q1,14183.1,5.59,184.333
2001Q2,14271.7,4.33,185.467
2001Q3,14214.5,3.5,186.733
2001Q4,14253.6,2.13,187.967
2002Q1,14372.8,1.73,189
2002Q2,14460.8,1.75,189.967
2002Q3,14519.6,1.74,190.967
2002Q4,14537.6,1.44,191.833
2003Q1,14614.1,1.25,192.467
2003Q2,14743.6,1.25,192.8
2003Q3,14988.8,1.02,193.567
2003Q4,15162.8,1,194.067
2004Q1,15248.7,1,195
2004Q2,15366.9,1.01,196.233
2004Q3,15512.6,1.43,197.067
2004Q4,15670.9,1.95,198.267
2005Q1,15844.7,2.47,199.5
2005Q2,15922.8,2.94,200.433
2005Q3,16047.6,3.46,201.1
2005Q4,16136.7,3.98,202.433
2006Q1,16353.8,4.46,203.7
2006Q2,16396.2,4.91,205.367
2006Q3,16420.7,5.25,206.767
2006Q4,16561.9,5.25,207.833
2007Q1,16611.7,5.26,209.051
2007Q2,16713.3,5.25,210.066
2007Q3,16809.6,5.07,211.149
2007Q4,16915.2,4.5,212.635
2008Q1,16843,3.18,214.043
2008Q2,16943.3,2.09,214.973
2008Q3,16854.3,1.94,216.357
2008Q4,16485.4,0.51,216.887
2009Q1,16298.3,0.18,217.797
2009Q2,16269.1,0.18,218.907
2009Q3,16326.3,0.16,219.56
2009Q4,16502.8,0.12,220.683
2010Q1,16582.7,0.13,220.716
2010Q2,16743.2,0.19,220.993
2010Q3,16872.3,0.19,221.528
2010Q4,16960.9,0.19,222.107
2011Q1,16920.6,0.16,223.157
2011Q2,17035.1,0.09,224.2
2011Q3,17031.3,0.08,225.733
2011Q4,17222.6,0.07,226.937
2012Q1,17367,0.1,228.13
2012Q2,17444.5,0.15,229.251
2012Q3,17469.7,0.14,230.287
2012Q4,17489.9,0.16,231.36
2013Q1,17662.4,0.14,232.531
2013Q2,17709.7,0.12,233.059
2013Q3,17860.5,0.08,234.305
2013Q4,18016.1,0.09,235.346
2014Q1,17954,0.07,236.257
2014Q2,18185.9,0.09,237.479
2014Q3,18406.9,0.09,238.462
2014Q4,18500,0.1,239.411
2015Q1,18666.6,0.11,240.246
2015Q2,18782.2,0.12,241.699
2015Q3,18857.4,0.14,242.899
2015Q4,18892.2,0.16,244.185
2016Q1,19001.7,0.36,245.459
2016Q2,19062.7,0.37,247.076
2016Q3,19197.9,0.4,248.365
2016Q4,19304.4,0.45,249.514
2017Q1,19398.3,0.7,250.803
2017Q2,19506.9,0.95,251.468
2017Q3,19660.8,1.15,252.444
2017Q4,19882.4,1.2,253.895
2018Q1,20044.1,1.45,255.729
2018Q2,20150.5,1.74,257.058
2018Q3,20276.2,1.92,257.986
2018Q4,20304.9,2.22,259.473
2019Q1,20431.6,2.4,261.173
2019Q2,20602.3,2.4,262.318
2019Q3,20843.3,2.19,263.848
2019Q4,20985.4,1.64,265.513
2020Q1,20693.2,1.26,267.047
2020Q2,19056.6,0.06,265.669
2020Q3,20548.8,0.09,268.248
2020Q4,20771.7,0.09,269.876
2021Q1,21058.4,0.08,270.882
2021Q2,21389,0.07,275.564
2021Q3,21571.4,0.09,279.129
2021Q4,21960.4,0.08,283.427
2022Q1,21903.9,0.12,288.033
2022Q2,21919.2,0.77,292.174
2022Q3,22066.8,2.19,296.648
2022Q4,22249.5,3.65,300.377
2023Q1,22403.4,4.52,303.968
2023Q2,22539.4,4.99,307.468
2023Q3,22780.9,5.26,309.74
2023Q4,22960.6,5.33,312.345
2024Q1,23053.5,5.33,315.569
2024Q2,23223.9,5.33,317.997
2024Q3,23400.3,5.26,319.869
2024Q4,23536.3,4.65,322.534
